S.No,reviews_list,Category,'Review type',,,,
1,'It was worth trying it','Value of Money',Positive,,,,
2,'Pizza was great and satisfied my pizza craving','Value of Money',Positive,,,,
3,'food was amazing and the food was hot and fresh','Food Taste',Positive,,,,
4,'Awsome quality of flavoured Naan','Food Taste',Positive,,,,
5,'It was fresh ,hot and yummy','Food Taste',Positive,,,
6,'Super cheesy & incredibly tasty','Food Taste',Positive,,,,
7,'food taste was not good','Food Taste','Negative ',,,,
8,'yummy taste ','Food Taste',Positive,,,,
9,' delivered before the time',Service,Positive,,,,
10,'Delicious Taste','Food Taste',Positive,,,,
11,'Tawa Pizza is something beyond delicious Full of flavours and spices. It was too yummy and delicious','Food Taste',Positive,,,,
12,'Apple pie were absolutely amazing','Food Taste',Positive,,,,
13,'Worth trying','Food Taste',Positive,,,,
14,'Awsome taste ','Food Taste',Positive,,,,
15,' service was also good',Service,Positive,,,,
16,'Excellent deal for 4 people in just Rs.1800','Value of Money',Positive,,,,
17,'Taste was also not good and quantity was also not good','Food Taste','Negative ',,,,
18,'food was yummilicious Will recommend it to everyone','Food Taste',Positive,,,,
19,'Food tast was good family loved it and would definitely recommend you all','Food Taste',Positive,,,,
20,'Delicious Taste and full of flavour. Packaged well & order reached on time.','Food Taste',Positive,,,,
21,'tasted good nevertheless','Value of Money',Positive,,,,
22,'Taste was so delicious ','Value of Money',Positive,,,,
23,'Yummlicious burger','Value of Money',Positive,,,,
24,'Broadway sandwiches are good ,tasty and fresh','Value of Money',Positive,,,
25,'food was not fresh and not cooked properly','Food Taste','Negative ',,,,
26,'Food was very saucy ','Food Taste',Positive,,,,
27,'Worth buying','Value of Money',Positive,,,,
28,'Honestly speaking taste was amaizing, Buns were soft and sauce was upto the mark.','Food Taste',Positive,,,
29,'Price is not so economical','Value of Money','Negative ',,,,
30,'perfect amount of cheese and sauces. Also the patties were so juicy.','Food Taste',Positive,,,,
31,'Food taste was amazing','Food Taste',Positive,,,,
32,'Service was good',Service,Positive,,,,
33,'The price was very reasonable','Value of Money',Positive,,,,
34,'The taste, quality, quantity and everything was spot on. They kept a perfect balance of spices.','Food Taste',Positive,,
35,'Broadway never disappointed ur cheese cravings Ordered this yummilicious pizza and it was much Tempting','Food Taste',Positive,,,,
36,'Price is also economical','Value of Money',Positive,,,,
37,'Yummlicious alferado pasta','Food Taste',Positive,,,,
38,'Best pizza in taste ','Food Taste',Positive,,,,
39,'They provide best service',Service,Positive,,,,
40,' Taste was good','Food Taste',Positive,,,,
41,'Ambiance was amazing',Ambience,Positive,,,,
42,'the service was to slow ',Service,'Negative ',,,,
43,' the food was not good','Food Taste','Negative ',,,,
44,'Quality of food best','Food Taste',Positive,,,,
45,'Service was also good',Service,Positive,,,,
46,'Club sandwich taste was good ','Food Taste',Positive,,,,
47,'Ambience is nice',Ambience,Positive,,,,
48,'Service is very fast',Service,Positive,,,,
49,'Worst Food experience at kebabistan','Food Taste','Negative ',,,,
50,'Worst Ambience',Ambience,'Negative ',,,,
51,'Worst Service',Service,'Negative ',,,,
52,'Taste is awsome ','Food Taste',Positive,,,,
53,'Service was also good',Service,Positive,,,,
54,'They give discount too. Price is affordable','Value of Money',Positive,,,,
55,'will never order from Kababjees its a really disappointment','Food Taste','Negative ',,,,
56,'Dissapointment in service of Kababjees',Service,'Negative ',,,,
57,'Taste is wonderful','Food Taste',Positive,,,,
58,'Ambience is quiet nice',Ambience,Positive,,,,
59,'Their service is nice',Service,Positive,,,,
60,'The food was incredible','Food Taste',Positive,,,,
61,'the service was phenomenal',Service,Positive,,,,
62,'Never avail  50\% offer on kababjee resturants, Pathetic Service',Service,Positive,,,
63,'One of the best focaccia bread/sandwich! Decent coffee','Food Taste',Positive,,,,
